,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,preprocessed_text,predict_directed,predict_emotion,positive,negative,predict_positive,predict_negative
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,"['wesley83', 'iphon', 'hr', 'tweet', 'rise_austin', 'dead', 'need', 'upgrad', 'plugin', 'station', 'sxsw']",Iphone,Negative emotion,0,1,0,1
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,"['jessede', 'know', 'fludapp', 'awesom', 'ipad', 'iphon', 'app', 'like', 'appreci', 'design', 'also', 'give', 'free', 'sxsw']",Ipad or Iphone App,Positive emotion,1,0,1,0
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,"['swonderlin', 'wait', 'ipad', 'also', 'sale', 'sxsw']",Ipad,Positive emotion,1,0,1,0
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,"['sxsw', 'hope', 'year', 'festiv', 'crashi', 'year', 'iphon', 'app', 'sxsw']",Ipad or Iphone App,Negative emotion,0,1,0,1
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,"['sxtxstate', 'great', 'stuff', 'fri', 'sxsw', 'marissa', 'mayer', 'googl', 'tim', 'reilli', 'tech', 'book', 'confer', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,Positive emotion,1,0,1,0
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,No emotion toward brand or product,"['teachntech00', 'new', 'ipad', 'app', 'speechtherapi', 'commun', 'showcas', 'sxsw', 'confer', 'http', '49n4m', 'iear', 'edchat', 'asd']",Ipad or Iphone App,No emotion,0,0,0,0
7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,"['sxsw', 'start', 'ctia', 'around', 'corner', 'googleio', 'hop', 'skip', 'jump', 'good', 'time', 'android', 'fan']",Android,Positive emotion,1,0,1,0
8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,"['beauti', 'smart', 'simpl', 'idea', 'madebymani', 'thenextweb', 'wrote', 'hollergram', 'ipad', 'app', 'sxsw', 'http', 'bit', 'ieavob']",Ipad or Iphone App,Positive emotion,1,0,1,0
9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,"['count', 'day', 'sxsw', 'plu', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'appl', 'gear']",Apple,No emotion,1,0,0,0
10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive emotion,"['excit', 'meet', 'samsungmobileu', 'sxsw', 'show', 'sprint', 'galaxi', 'still', 'run', 'android', 'fail']",Android,Positive emotion,1,0,1,0
